ceo,company_founded,job_title,cb_link,location,primary_organisation
 Ravi Kant Sharma ,1,Founder & CEO,/person/ravi-kant-sharma-2," Kolkata, West Bengal, India", Sasta Sundar 
 Tanutejas Saraswat ,2,CEO & Founder,/person/tanutejas-saraswat," Indore, Madhya Pradesh, India", Shopkirana 
 Neerav Parekh ,1,Founder & CEO,/person/neerav-parekh," Mumbai, Maharashtra, India", vPhrase 
 Mohammed Faizan Ahmed ,1,Founder & CEO,/person/mohammed-faizan-ahmed," Bangalore, Karnataka, India", Swish Digi Tech 
 Sudeep G. Samanta ,1,CEO & Founder,/person/sudeep-samanta," Mumbai, Maharashtra, India", Photodilse.com 
 Amit Sharma ,2,CEO & Product Architect,/person/amit-sharma-14," Bangalore, Karnataka, India", ShopX 
 Sahir Hidayatullah ,1,CEO & Founder,/person/sahir-hidayatullah," Mumbai, Maharashtra, India", Smokescreen Technologies 
 Amit Singh ,1,CEO and co-founder,/person/amit-singh-13," Gurgaon, Haryana, India", Shuttl 
 Bhavik Vasa ,1,Founder & CEO,/person/bhavik-vasa," Mumbai, Maharashtra, India", GetVantage 
 Darshan Hiranandani ,—,Managing Director & CEO,/person/darshan-hiranandani," Mumbai, Maharashtra, India", H-Energy 
 Vivek Saxena ,1,Co-Founder & CEO,/person/vivek-saxena," Mumbai, Maharashtra, India", ZipCash 
 Rohit Chawla ,2,Founder & CEO,/person/rohit-chawla," Gurgaon, Haryana, India", Bare Anatomy 
 Aditya Sanghi ,1,Co-Founder & CEO,/person/aditya-sanghi-2," Noida, Uttar Pradesh, India", Hotelogix 
 Antony Cherukara ,—,CEO,/person/antony-cherukara," Pune, Maharashtra, India", V.S.T. Tillers Tractors Ltd 
 Samir Bhatia ,1,Founder & CEO,/person/samir-bhatia," Mumbai, Maharashtra, India", SMECorner 
 Raghuram Talluri ,1,Co-Founder & CEO,/person/raghuram-talluri," Bangalore, Karnataka, India", Loadshare Networks Pvt Ltd 
 Ashutosh Pandey ,—,CEO,/person/ashutosh-pandey-4," Mumbai, Maharashtra, India", Tata CLiQ 
 Mohit Mamoria ,3,"Co-Founder, CEO",/person/mohit-mamorio," Gurgaon, Haryana, India", Mailman 
 Prerna Kalra ,1,Founder & CEO,/person/prerna-kalra," Delhi, Delhi, India", Daalchini Technologies 
 Brijraj Vaghani ,1,Co-Founder & CEO,/person/brijraj-vaghani," Mumbai, Maharashtra, India", Ridlr 
 Harit Nagpal ,—,CEO & MD,/person/harit-nagpal," Mumbai, Maharashtra, India", Tata Sky Ltd. 
 Yevgen Sokolnikov ,1,Co-Founder & CEO,/person/yevgen-sokolnikov," Gurgaon, Haryana, India", Boodmo 
 Anand Shahani ,1,Co-Founder & CEO,/person/anand-shahani," Gurgaon, Haryana, India", WedMeGood 
 Vinod Kumar ,—,MD & CEO,/person/vinod-kumar," Mumbai, Maharashtra, India", Tata Communications 
 Varun Chopra ,1,Co-Founder & CEO,/person/varun-chopra-055f," Mumbai, Maharashtra, India", Eduvanz 
 Sairee Chahal ,1,"Founder, CEO",/person/sairee-chahal," Noida, Uttar Pradesh, India", SHEROES 
 Vishnu Dusad ,1,CEO & Co-founder,/person/vishnu-dusad," Noida, Uttar Pradesh, India", Nucleus Software 
 Bhola Meena ,3,CEO & Founder,/person/bhola-meena," Gurgaon, Haryana, India", OnlineTyari 
 Ayaan Chawla ,4,Founder & CEO,/person/ayaan-chawla," Gurgaon, Haryana, India", Asian Fox Developments 
 Sandeep Sugla ,2,CEO & Founder,/person/sandeep-sugla," Pune, Maharashtra, India", MarketsandMarkets Research Pvt. Ltd. 
 Anurag Sinha ,2,Co-Founder & CEO,/person/anurag-sinha-c304," Pune, Maharashtra, India", FPL Technologies 
 Nitesh Salvi ,2,Founder & CEO,/person/nitesh-salvi," Mumbai, Maharashtra, India", Pocket52 
 Himanshu Kumar ,2,CEO & Co-Founder,/person/himanshu-kumar-2," Bangalore, Karnataka, India", AMBCrypto 
 Sanjeev Bobby Sarin ,1,Founder and CEO,/person/sanjeev-bobby-sarin," Delhi, Delhi, India", Ozone 
 Amit Kapoor ,3,Founder & CEO,/person/amit-kapoor," Mumbai, Maharashtra, India", OneStack 
